order_item_id,order_id,product_id,quantity,selling_price
1,1310,15,1,59400.57
2,502,29,2,58995.76
3,1386,95,5,7228.02
4,865,5,1,7766.51
5,477,65,5,2413.92
6,408,92,5,33734.73
7,920,76,3,64810.61
8,14,98,2,55940.71
9,697,36,2,17459.51
10,1564,44,1,7690.84
11,199,46,3,48415.96
12,1653,6,4,43036.38
13,1993,49,1,44296.64
14,1699,81,5,70869.5
15,741,74,2,56453.38
16,94,85,2,61912.55
17,164,30,1,30595.06
18,929,82,3,13262.53
19,728,27,3,56234.08
20,1400,83,1,48846.74
21,351,69,2,13322.18
22,778,35,5,17802.33
23,665,99,1,18554.13
24,66,41,4,21637.95
25,433,73,3,17245.34
26,1023,51,4,11685.87
27,286,32,5,43255.49
28,1530,75,4,71855.48
29,818,47,2,79785.86
30,284,66,4,7544.48
31,97,15,2,50306.45
32,1623,88,4,47832.8
33,789,49,5,79689.87
34,1084,33,5,68903.14
35,24,88,1,54631.32
36,1100,97,3,61556.32
37,697,15,3,34949.79
38,930,1,3,77758.48
39,1561,23,5,73035.44
40,1783,81,3,67380.05
41,1040,78,2,12480.29
42,1562,21,5,76292.93
43,1890,68,1,48034.88
44,1001,3,1,74348.16
45,1800,40,2,4915.64
46,1799,73,1,7125.58
47,996,9,5,61336
48,263,85,4,75762.84
49,339,34,5,69831.91
50,867,28,5,60493.64
51,1413,26,3,32098.69
52,1376,84,3,35215.58
53,1060,58,1,20057.08
54,132,44,1,47187.2
55,472,76,2,872.11
56,1450,81,1,18545.66
57,1855,5,3,5946.33
58,488,36,4,17373.67
59,271,93,5,46223.07
60,498,61,4,15474.67
61,199,85,4,28536.52
62,842,60,1,53966.15
63,1324,13,1,32387.92
64,695,14,2,15568.73
65,1099,58,2,33922.97
66,571,60,2,69995.53
67,155,57,5,8102.33
68,1336,70,1,77528
69,1898,97,2,13554
70,995,62,2,69211.64
71,1849,8,2,30503.16
72,800,34,4,23033.36
73,1427,94,5,53050.14
74,997,20,2,23946.61
75,1984,8,5,58937.25
76,125,96,3,4855.07
77,1197,62,5,73574.15
78,1088,21,1,76873.08
79,165,24,1,47723.3
80,1383,31,4,9853.96
81,1824,73,2,46438.85
82,82,80,1,33711.23
83,1196,73,5,25513.68
84,535,27,3,19322.27
85,811,17,3,36739.8
86,1903,97,1,1041.44
87,1273,73,1,6137.88
88,437,65,3,10855.79
89,715,9,2,29750.31
90,324,57,5,56371.13
91,1253,84,5,922.5
92,1674,71,3,74559.96
93,213,18,3,9498.67
94,220,96,5,12688.2
95,578,78,2,57492.69
96,417,88,3,40580.1
97,515,7,1,50851.47
98,1699,36,1,581.59
99,1580,17,3,13177.08
100,905,71,4,45003.28
101,230,10,2,43782.55
102,1710,48,5,44335.25
103,881,17,1,24867.19
104,1842,6,3,17042.1
105,512,86,1,28487.19
106,1147,53,5,60032.37
107,1896,31,2,78102.62
108,1661,23,4,2274.47
109,1509,43,4,64237.14
110,1770,95,2,21563.42
111,1613,90,1,30787.58
112,80,61,2,16204.95
113,1881,59,3,24622.71
114,1629,30,2,2185.06
115,396,52,3,22503.66
116,143,99,3,28285.35
117,1044,52,5,26691.64
118,57,15,3,14530.85
119,1972,34,1,8938.68
120,890,45,3,35079.59
121,1048,15,4,71989.53
122,390,33,1,56789.19
123,4,67,5,55041.51
124,1926,95,2,29327.45
125,144,86,3,49964.49
126,1359,16,3,40716.66
127,1366,53,3,32370.31
128,606,71,2,15588.66
129,1362,49,2,49355.54
130,617,52,5,66746.9
131,623,37,2,34561.09
132,1188,78,3,37358.56
133,906,87,2,41039.57
134,1626,95,2,52809.4
135,582,66,5,27013.5
136,1677,97,2,53920.81
137,461,26,2,2245.7
138,502,61,5,68023.09
139,150,59,4,70924.11
140,1179,25,4,39700.86
141,500,19,1,71443.99
142,1763,99,1,62339.11
143,449,23,5,37323.63
144,1142,32,1,36679.01
145,1642,60,5,79034.03
146,1220,41,4,49127.39
147,1474,65,4,66495.36
148,1123,58,2,59568.34
149,973,58,3,60215.61
150,1721,82,3,61334.35
151,1068,63,2,22184.42
152,159,92,3,18988.14
153,688,41,5,6721.04
154,309,30,4,55606.8
155,1447,28,1,33363.97
156,678,70,4,33436.21
157,424,54,4,72414.63
158,1197,90,1,68580.54
159,1568,74,4,38314.28
160,1931,46,3,60350.97
161,1748,54,5,59876
162,1119,78,2,39210.89
163,559,56,4,2612.28
164,689,86,4,58016.26
165,1722,60,2,78462.54
166,1094,4,4,47472.85
167,1358,4,1,51526.15
168,278,60,2,4306.69
169,777,42,2,36538.54
170,692,98,4,22476.05
171,1949,54,3,66841.4
172,964,3,5,4450.22
173,1950,45,2,52115.48
174,1600,84,1,60411.39
175,1945,32,2,67185.54
176,1273,20,2,10358.81
177,1372,15,5,75835.23
178,953,90,3,61420.78
179,344,78,5,77108.66
180,1472,15,2,77187.25
181,222,75,1,74331.31
182,1180,87,4,31912.36
183,1465,26,1,47489.2
184,1702,81,2,8420.53
185,1583,39,5,64499.58
186,1631,73,1,27971.14
187,878,85,3,5794.85
188,1327,44,1,68010.18
189,1685,63,1,34850.82
190,742,82,4,56671.5
191,892,23,5,77247.26
192,554,79,5,62037.92
193,953,56,5,21690.12
194,1745,32,1,22529.58
195,924,32,4,45716.02
196,1369,49,3,2586.39
197,1743,42,2,39156.73
198,727,34,3,22587.78
199,1221,90,3,44595.54
200,1059,25,1,19535.08
201,833,63,5,60724.72
202,1415,61,4,36018.51
203,36,12,3,17960.23
204,1417,32,3,53216.61
205,756,61,5,42613.48
206,872,96,5,26663.07
207,1440,59,3,24736.85
208,473,16,2,25448.17
209,1522,69,2,15564.82
210,1513,62,3,58048.42
211,1557,68,5,22854
212,206,25,3,18429.41
213,368,39,1,56728.07
214,260,36,1,77950.31
215,1134,38,2,51137.21
216,1542,63,1,69854.76
217,1176,37,4,38452.52
218,698,24,1,20421.53
219,1765,62,1,65821.62
220,821,63,1,46287.59
221,1406,7,2,12190.05
222,1153,39,1,79514.27
223,243,72,4,48622.52
224,1620,80,2,62121.78
225,780,58,4,23998.04
226,1206,55,3,45618.77
227,124,79,1,75821.94
228,426,81,2,21391.3
229,167,21,2,14151.94
230,154,21,1,32857.85
231,1412,77,4,23512.37
232,475,37,3,56327.11
233,930,10,2,73934.71
234,1614,81,5,52995.29
235,1913,26,4,9446.67
236,461,83,2,72699.39
237,1693,19,1,5052.15
238,1624,40,5,59990.93
239,1166,37,4,10209.99
240,1411,39,4,75430.3
241,1025,70,4,35188.38
242,1225,6,4,58841.35
243,1237,33,1,7577.75
244,1970,87,5,47092.7
245,43,98,3,46225.88
246,1563,97,2,37797.92
247,1335,57,3,14763.69
248,1199,56,4,77532.7
249,963,45,4,26863.68
250,1373,14,2,26584.35
251,1421,64,3,53106.91
252,821,98,5,3223.76
253,181,41,3,26063.92
254,1987,99,4,69232.37
255,1690,1,5,37118.51
256,112,25,5,29132.81
257,1550,64,4,60870.25
258,417,35,5,10740.75
259,590,57,4,9976.66
260,1994,81,5,64004.3
261,1454,21,3,44200.87
262,1132,53,1,18207.64
263,1724,15,4,75779.74
264,1327,20,4,74631.45
265,598,66,3,33413.58
266,989,61,2,36704.88
267,297,50,2,73771.89
268,1041,96,2,69161.95
269,566,99,4,27387.06
270,1614,65,3,65696.79
271,580,93,3,67045.83
272,1188,85,4,69260.27
273,915,69,4,27805.38
274,1131,98,5,30362.64
275,1911,42,2,78466.74
276,490,74,4,18913.93
277,1589,53,1,25657.65
278,969,91,4,31069.48
279,1360,84,2,39776.69
280,76,17,5,77237.68
281,680,13,4,8246.02
282,1865,59,1,57877.77
283,840,84,2,6262.81
284,1601,34,3,49972.77
285,815,84,1,68184.69
286,1746,87,5,30585.75
287,649,81,4,69827.93
288,74,80,1,19010.19
289,1402,37,2,59816.28
290,889,13,1,35660.18
291,1422,39,1,3964.48
292,1631,8,3,28868.53
293,883,19,2,42632.96
294,1160,88,2,13846.7
295,162,79,4,49689.92
296,494,64,5,11705.48
297,945,82,3,36926.77
298,1366,2,4,72125.39
299,1388,70,2,6185.79
300,1936,45,5,24141.59
301,1971,55,3,36708.81
302,619,26,4,68309.84
303,219,31,4,45881.24
304,1178,38,3,2047.59
305,1700,85,4,22175.09
306,1160,88,1,72875.17
307,1527,64,3,62125.56
308,472,78,3,17753.66
309,390,80,3,54316.83
310,1477,99,2,50370.37
311,1851,81,1,24920.95
312,903,5,5,29378.44
313,270,12,3,26338.51
314,851,23,2,10832.14
315,1105,47,5,40292.04
316,559,22,3,73148.7
317,1934,62,3,59799.78
318,694,15,4,77041.6
319,289,97,2,68852.21
320,1484,87,4,77390.4
321,1648,72,3,7496.14
322,809,2,3,43063.81
